case_id,start_time,end_time,Activity,defectFixed,defectType,numberRepairs,Role,phoneType
1033,2017-01-23T11:27:00,2017-01-23T11:34:00,Repair (Simple),,,,SolverS1,
1033,2017-01-23T11:34:00,2017-01-23T11:40:00,Test Repair,FALSE,,1,Tester2,
1033,2017-01-23T11:45:00,2017-01-23T11:45:00,Restart Repair,,,,System,
1033,2017-01-23T11:45:00,2017-01-23T11:56:00,Repair (Simple),,,,SolverS3,
1033,2017-01-23T11:56:00,2017-01-23T12:01:00,Test Repair,TRUE,,2,Tester3,
1033,2017-01-23T12:08:00,2017-01-23T12:08:00,Inform User,,,,System,
1034,2017-01-22T17:56:00,2017-01-22T17:56:00,Register,,,,System,
1034,2017-01-22T17:56:00,2017-01-22T18:04:00,Analyze Defect,,4,,Tester2,T1
1034,2017-01-22T18:27:00,2017-01-22T18:27:00,Inform User,,,,System,
1034,2017-01-22T18:34:00,2017-01-22T18:40:00,Repair (Simple),,,,SolverS1,
1034,2017-01-22T18:40:00,2017-01-22T18:50:00,Test Repair,FALSE,,1,Tester1,
1034,2017-01-22T19:00:00,2017-01-22T19:00:00,Restart Repair,,,,System,
1034,2017-01-22T19:00:00,2017-01-22T19:20:00,Repair (Simple),,,,SolverS3,
1034,2017-01-22T19:20:00,2017-01-22T19:27:00,Test Repair,TRUE,,2,Tester1,
1035,2017-01-23T13:56:00,2017-01-23T13:56:00,Register,,,,System,
1035,2017-01-23T13:56:00,2017-01-23T14:02:00,Analyze Defect,,7,,Tester3,T2
1035,2017-01-23T14:29:00,2017-01-23T15:15:00,Repair (Complex),,,,SolverC3,
1035,2017-01-23T14:44:00,2017-01-23T14:44:00,Inform User,,,,System,
1035,2017-01-23T15:15:00,2017-01-23T15:24:00,Test Repair,TRUE,,0,Tester4,
1036,2017-01-22T12:02:00,2017-01-22T12:02:00,Register,,,,System,
1036,2017-01-22T12:02:00,2017-01-22T12:12:00,Analyze Defect,,7,,Tester4,T2
1036,2017-01-22T12:34:00,2017-01-22T12:49:00,Repair (Complex),,,,SolverC2,
1036,2017-01-22T12:37:00,2017-01-22T12:37:00,Inform User,,,,System,
1036,2017-01-22T12:49:00,2017-01-22T12:57:00,Test Repair,TRUE,,0,Tester3,
1037,2017-01-23T14:04:00,2017-01-23T14:04:00,Register,,,,System,
1037,2017-01-23T14:04:00,2017-01-23T14:11:00,Analyze Defect,,4,,Tester3,T3
1037,2017-01-23T14:22:00,2017-01-23T14:29:00,Repair (Simple),,,,SolverS2,
1037,2017-01-23T14:29:00,2017-01-23T14:38:00,Test Repair,TRUE,,1,Tester6,
1037,2017-01-23T14:47:00,2017-01-23T14:47:00,Inform User,,,,System,
1038,2017-01-23T04:36:00,2017-01-23T04:36:00,Register,,,,System,
1038,2017-01-23T04:36:00,2017-01-23T04:41:00,Analyze Defect,,5,,Tester2,T3
1038,2017-01-23T04:48:00,2017-01-23T05:04:00,Repair (Complex),,,,SolverC1,
1038,2017-01-23T05:04:00,2017-01-23T05:10:00,Test Repair,TRUE,,0,Tester2,
1038,2017-01-23T05:29:00,2017-01-23T05:29:00,Inform User,,,,System,
1039,2017-01-23T16:42:00,2017-01-23T16:42:00,Register,,,,System,
1039,2017-01-23T16:42:00,2017-01-23T16:52:00,Analyze Defect,,10,,Tester1,T1
1039,2017-01-23T17:12:00,2017-01-23T17:12:00,Inform User,,,,System,
1039,2017-01-23T17:16:00,2017-01-23T18:03:00,Repair (Complex),,,,SolverC3,
1039,2017-01-23T18:03:00,2017-01-23T18:08:00,Test Repair,TRUE,,0,Tester6,
104,2017-01-04T19:29:00,2017-01-04T19:29:00,Register,,,,System,
104,2017-01-04T19:29:00,2017-01-04T19:37:00,Analyze Defect,,6,,Tester6,T2
104,2017-01-04T19:44:00,2017-01-04T20:02:00,Repair (Complex),,,,SolverC2,
104,2017-01-04T20:02:00,2017-01-04T20:08:00,Test Repair,TRUE,,0,Tester5,
104,2017-01-04T20:25:00,2017-01-04T20:25:00,Inform User,,,,System,
104,2017-01-04T20:25:00,2017-01-04T20:25:00,Archive Repair,TRUE,,0,System,
1040,2017-01-23T15:24:00,2017-01-23T15:24:00,Register,,,,System,
1040,2017-01-23T15:24:00,2017-01-23T15:31:00,Analyze Defect,,4,,Tester6,T3
1040,2017-01-23T15:52:00,2017-01-23T16:11:00,Repair (Simple),,,,SolverS3,
1040,2017-01-23T16:11:00,2017-01-23T16:20:00,Test Repair,TRUE,,1,Tester3,
1040,2017-01-23T16:21:00,2017-01-23T16:21:00,Inform User,,,,System,
1041,2017-01-23T14:15:00,2017-01-23T14:15:00,Register,,,,System,
1041,2017-01-23T14:15:00,2017-01-23T14:25:00,Analyze Defect,,2,,Tester3,T3
1041,2017-01-23T14:55:00,2017-01-23T15:00:00,Repair (Simple),,,,SolverS1,
1041,2017-01-23T15:00:00,2017-01-23T15:10:00,Test Repair,FALSE,,1,Tester5,
1041,2017-01-23T15:03:00,2017-01-23T15:03:00,Inform User,,,,System,
1041,2017-01-23T15:16:00,2017-01-23T15:16:00,Restart Repair,,,,System,
1041,2017-01-23T15:16:00,2017-01-23T15:22:00,Repair (Simple),,,,SolverS1,
1041,2017-01-23T15:22:00,2017-01-23T15:31:00,Test Repair,FALSE,,2,Tester5,
1041,2017-01-23T15:40:00,2017-01-23T15:40:00,Restart Repair,,,,System,
1041,2017-01-23T15:40:00,2017-01-23T15:55:00,Repair (Simple),,,,SolverS2,
1041,2017-01-23T15:55:00,2017-01-23T16:05:00,Test Repair,FALSE,,3,Tester3,
1042,2017-01-22T14:48:00,2017-01-22T14:48:00,Register,,,,System,
1042,2017-01-22T14:48:00,2017-01-22T14:54:00,Analyze Defect,,6,,Tester6,T1
1042,2017-01-22T15:16:00,2017-01-22T15:35:00,Repair (Simple),,,,SolverS3,
1042,2017-01-22T15:35:00,2017-01-22T15:41:00,Test Repair,TRUE,,1,Tester3,
1042,2017-01-22T15:36:00,2017-01-22T15:36:00,Inform User,,,,System,
1043,2017-01-23T06:12:00,2017-01-23T06:12:00,Register,,,,System,
1043,2017-01-23T06:12:00,2017-01-23T06:19:00,Analyze Defect,,5,,Tester2,T3
1043,2017-01-23T06:20:00,2017-01-23T06:33:00,Repair (Simple),,,,SolverS3,
1043,2017-01-23T06:33:00,2017-01-23T06:42:00,Test Repair,TRUE,,1,Tester1,
1043,2017-01-23T06:41:00,2017-01-23T06:41:00,Inform User,,,,System,
1044,2017-01-23T08:39:00,2017-01-23T08:39:00,Register,,,,System,
1044,2017-01-23T08:39:00,2017-01-23T08:48:00,Analyze Defect,,7,,Tester2,T1
1044,2017-01-23T09:05:00,2017-01-23T09:05:00,Inform User,,,,System,
1044,2017-01-23T09:05:00,2017-01-23T09:52:00,Repair (Complex),,,,SolverC3,
1044,2017-01-23T09:52:00,2017-01-23T10:01:00,Test Repair,TRUE,,0,Tester3,
1045,2017-01-22T22:32:00,2017-01-22T22:32:00,Register,,,,System,
1045,2017-01-22T22:32:00,2017-01-22T22:39:00,Analyze Defect,,1,,Tester1,T3
1045,2017-01-22T22:43:00,2017-01-22T22:58:00,Repair (Simple),,,,SolverS3,
1045,2017-01-22T22:58:00,2017-01-22T23:04:00,Test Repair,TRUE,,1,Tester1,
